No.,Object Name,RA-s,Dec-s,RA,Dec,Redshift (z),cz,z flag,Phys Type,EM Region,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra
134,CANDELS J033232.63-274722.2,03h32m32.6230s,-27d47m22.380s,53.13592916667,-27.78955,0.395,118418.02091,PUN,G,"IR,Vis",15,0,48,5,9,0,0,0,5,0
135,S-CANDELS J033232.67-274810.2,03h32m32.6690s,-27d48m09.990s,53.13612083333,-27.802775,0.838,251226.079804,PUN,G,"IR,Vis",11,0,42,3,7,0,0,0,5,0
136,CANDELS J033232.68-274712.0,03h32m32.6790s,-27d47m11.880s,53.1361625,-27.78663333333,0.66706653,199981.514678231,SLS,G,"IR,Vis",21,0,54,11,17,0,0,0,5,0
137,CANDELS J033232.70-274814.8,03h32m32.7130s,-27d48m14.860s,53.13630416667,-27.80412777778,4.8064,1440922.4701312,S1L,G,"IR,Vis",21,0,60,11,13,0,0,0,5,0
138,CANDELS J033232.71-274651.5,03h32m32.7160s,-27d46m51.580s,53.13631666667,-27.78099444444,1.43817941,431155.34036889,SLS,G,"IR,Vis",19,0,59,12,12,0,0,0,5,0
139,CANDELS J033232.73-274629.9,03h32m32.7280s,-27d46m29.940s,53.13636666667,-27.77498333333,1.3,389730.1954,SLS,G,"IR,Vis",21,0,49,10,16,0,0,0,5,0
140,CANDELS J033232.74-274738.7,03h32m32.7504s,-27d47m38.749s,53.13646,-27.794097,0.42398839,127108.521601563,SLS,G,"IR,Vis",18,0,51,8,10,0,0,0,5,0
141,CANDELS J033232.82-274709.9,03h32m32.8290s,-27d47m10.020s,53.1367875,-27.78611666667,2.867758,859732.219769164,SUN,G,"IR,Vis",19,0,76,11,14,0,0,0,5,0
142,CANDELS J033232.85-274708.6,03h32m32.8530s,-27d47m08.780s,53.1368875,-27.78577222222,0.612346,183576.712486468,PUN,G,"IR,Vis",18,0,54,8,12,0,0,0,5,0
143,CANDELS J033232.85-274726.3,03h32m32.8636s,-27d47m26.700s,53.136932,-27.79075,1.72834523,518144.864774275,SLS,G,"IR,Vis",23,0,86,13,17,0,0,0,5,0
144,ACS-GC 90043544,03h32m33.0110s,-27d48m29.700s,53.13754583333,-27.80825,0.664,199062.192112,UUN,G,"IR,Vis",32,0,60,12,21,0,0,0,5,0
145,ACS-GC 90042241,03h32m33.0326s,-27d47m31.160s,53.137636,-27.791989,0.99664532,298786.750236997,SLS,G,"IR,Vis,Xray",49,0,115,24,28,0,0,0,5,0
146,CANDELS J033233.06-274807.5,03h32m33.0520s,-27d48m07.610s,53.13771666667,-27.80211388889,1.18696,355841.65594768,SUN,G,"IR,Vis,Xray",42,0,77,21,29,0,0,0,5,0
147,COMBO-17 32772,03h32m33.0600s,-27d48m13.040s,53.13775,-27.80362222222,0.896,268614.042368,UUN,G,Vis,14,0,33,3,9,0,0,0,5,0
148,CANDELS J033233.06-274743.9,03h32m33.0741s,-27d47m43.944s,53.137809,-27.79554,2.9167,874404.6622486,S1L,G,"IR,Vis",31,0,74,19,17,0,0,0,5,0
149,COMBO-17 32471,03h32m33.0840s,-27d48m23.160s,53.13785,-27.80643333333,0.635,190368.21083,PUN,G,Vis,9,0,29,2,4,0,0,0,5,0
150,CANDELS J033233.10-274824.9,03h32m33.0940s,-27d48m24.800s,53.13789166667,-27.80688888889,1.1045,331120.769861,PUN,G,"IR,Vis",14,0,37,5,8,0,0,0,5,0
151,ACS-GC 90043561,03h32m33.1320s,-27d48m34.720s,53.13805,-27.80964444444,0.754294,226131.652314652,PUN,G,"IR,Vis",19,0,54,8,12,0,0,0,5,0
152,CANDELS J033233.15-274821.6,03h32m33.1460s,-27d48m21.650s,53.13810833333,-27.80601388889,0.794949,238319.714694642,PUN,G,"IR,Vis",16,0,37,7,11,0,0,0,5,0
153,CANDELS J033233.18-274833.5,03h32m33.1600s,-27d48m33.570s,53.13816666667,-27.809325,2.116990584919,634657.811015725,SLS,G,"IR,Vis",16,0,45,6,12,0,0,0,5,0
154,CANDELS J033233.16-274619.4,03h32m33.1610s,-27d46m19.330s,53.13817083333,-27.77203611111,0.425,127411.79465,PUN,G,"IR,Vis",11,0,26,5,7,0,0,0,5,0
155,CANDELS J033233.17-274703.6,03h32m33.1730s,-27d47m03.580s,53.13822083333,-27.78432777778,1.31003302,392738.019126963,SLS,G,"IR,Vis",22,0,60,13,17,0,0,0,5,0
156,CANDELS J033233.19-274656.3,03h32m33.1880s,-27d46m56.400s,53.13828333333,-27.78233333333,0.70767961,212157.009758381,SLS,G,"IR,Vis",19,0,70,11,13,0,0,0,5,0
